model_name,condition,identifier,class_id,class_name,cosine_similarity
vit_b_16_linear,translation_16_right,test_00632,3,cat,0.99574697
vit_b_16_linear,translation_16_right,test_00131,9,truck,0.9748585
vit_b_16_linear,translation_16_right,test_07081,7,monkey,0.9947283
vit_b_16_linear,translation_16_right,test_01836,9,truck,0.98868084
vit_b_16_linear,translation_16_right,test_06437,0,airplane,0.98398536
vit_b_16_linear,translation_16_right,test_06609,0,airplane,0.99551284
vit_b_16_linear,translation_16_right,test_03467,7,monkey,0.9635834
vit_b_16_linear,translation_16_right,test_01401,3,cat,0.9377728
vit_b_16_linear,translation_16_right,test_01839,2,car,0.9718677
vit_b_16_linear,translation_16_right,test_04168,3,cat,0.95606977
vit_b_16_linear,translation_16_right,test_00035,2,car,0.93906635
vit_b_16_linear,translation_16_right,test_04177,8,ship,0.88381594
vit_b_16_linear,translation_16_right,test_07270,7,monkey,0.92256945
vit_b_16_linear,translation_16_right,test_02265,5,dog,0.97521657
vit_b_16_linear,translation_16_right,test_03288,7,monkey,0.9959409
vit_b_16_linear,translation_16_right,test_05451,8,ship,0.9891799
vit_b_16_linear,translation_16_right,test_04023,3,cat,0.99573505
vit_b_16_linear,translation_16_right,test_00261,1,bird,0.99847066
vit_b_16_linear,translation_16_right,test_04570,5,dog,0.96115094
vit_b_16_linear,translation_16_right,test_04966,5,dog,0.980888
vit_b_16_linear,translation_16_right,test_07955,1,bird,0.98980445
vit_b_16_linear,translation_16_right,test_06288,4,deer,0.9117949
vit_b_16_linear,translation_16_right,test_07810,8,ship,0.94265956
vit_b_16_linear,translation_16_right,test_01927,7,monkey,0.9888252
vit_b_16_linear,translation_16_right,test_01871,1,bird,0.9920979
vit_b_16_linear,translation_16_right,test_06922,5,dog,0.9855447
vit_b_16_linear,translation_16_right,test_03512,4,deer,0.98432237
vit_b_16_linear,translation_16_right,test_04754,6,horse,0.9824386
vit_b_16_linear,translation_16_right,test_00714,2,car,0.9842415
vit_b_16_linear,translation_16_right,test_02191,8,ship,0.9359213
vit_b_16_linear,translation_16_right,test_04615,0,airplane,0.9842109
vit_b_16_linear,translation_16_right,test_04662,8,ship,0.9835552
vit_b_16_linear,translation_16_right,test_05915,9,truck,0.9839934
vit_b_16_linear,translation_16_right,test_00766,4,deer,0.9781537
vit_b_16_linear,translation_16_right,test_05218,2,car,0.99067277
vit_b_16_linear,translation_16_right,test_02340,8,ship,0.9735479
vit_b_16_linear,translation_16_right,test_01954,8,ship,0.98099387
vit_b_16_linear,translation_16_right,test_07875,8,ship,0.9103211
vit_b_16_linear,translation_16_right,test_03418,6,horse,0.9818393
vit_b_16_linear,translation_16_right,test_05572,9,truck,0.99161875
vit_b_16_linear,translation_16_right,test_05977,7,monkey,0.99288166
vit_b_16_linear,translation_16_right,test_05123,1,bird,0.99731815
vit_b_16_linear,translation_16_right,test_05851,9,truck,0.99500465
vit_b_16_linear,translation_16_right,test_04094,9,truck,0.9824081
